Annual Subway Ridership,,,,,,,,,,,
"Utica Av (A,C)",,B,5195786,5106247,2085483.051,2249322,2671676,#NAME?,#NAME?,#NAME?,#NAME?
Van Siclen Av (3),,B,854150,853106,413650.005,413686,473728,#NAME?,#NAME?,#NAME?,#NAME?
Van Siclen Av (C),,B,955230,918811,437289.996,442084,501085,#NAME?,#NAME?,#NAME?,#NAME?
"Van Siclen Av (J,Z)",,B,818735,791691,416713.002,459448,504052,#NAME?,#NAME?,#NAME?,#NAME?
"West 8 St-New York Aquarium (F,Q)",,B,818685,837836,315691.085,431449,583500,#NAME?,#NAME?,#NAME?,#NAME?
Wilson Av (L),,B,1420065,1290221,587630.011,761687,923267,#NAME?,#NAME?,#NAME?,#NAME?
"Winthrop St (2,5)",,B,2140028,1882065,974252.979,1203929,1499531,#NAME?,#NAME?,#NAME?,#NAME?
York St (F),,B,3256154,3927129,1257102.977,1561021,2551202,#NAME?,#NAME?,#NAME?,#NAME?
Manhattan,,,,,,,,,,,
1 Av (L),,M,6743140,5345371,2177283.989,3960124,5337253,#NAME?,#NAME?,#NAME?,#NAME?
103 St (1),,M,4072703,3766055,1470253.934,1880611,2574644,#NAME?,#NAME?,#NAME?,#NAME?
103 St (6),,M,4065523,4039570,1851274.971,2112042,2489375,#NAME?,#NAME?,#NAME?,#NAME?
"103 St (B,C)",,M,1630405,1498363,579190.998,718579,922327,#NAME?,#NAME?,#NAME?,#NAME?
110 St (6),,M,3394176,3316061,1468769.894,1722459,2050861,#NAME?,#NAME?,#NAME?,#NAME?
"116 St (2,3)",,M,3446526,3345661,1375593.036,1612653,1914872,#NAME?,#NAME?,#NAME?,#NAME?
116 St (6),,M,4683148,4572453,2052608.937,2341695,2794564,#NAME?,#NAME?,#NAME?,#NAME?
"116 St (B,C)",,M,2262578,2288111,896441.943,1067970,1358486,#NAME?,#NAME?,#NAME?,#NAME?
116 St-Columbia University (1),,M,4528136,4380469,1316284.065,1822117,2897994,#NAME?,#NAME?,#NAME?,#NAME?
125 St (1),,M,2457157,2368025,967478.011,1203374,1761867,#NAME?,#NAME?,#NAME?,#NAME?
"125 St (2,3)",,M,4727671,4644262,1848802.934,2121918,2521152,#NAME?,#NAME?,#NAME?,#NAME?
"125 St (4,5,6)",,M,8630430,8554857,3587672.962,3772990,4475736,#NAME?,#NAME?,#NAME?,#NAME?
"125 St (A,B,C,D)",,M,9037343,9208598,3863202.975,4353615,5182313,#NAME?,#NAME?,#NAME?,#NAME?
"135 St (2,3)",,M,4506259,4268823,1867401.993,2048382,2262461,#NAME?,#NAME?,#NAME?,#NAME?
"135 St (B,C)",,M,1622552,1743921,667494.99,753875,1019037,#NAME?,#NAME?,#NAME?,#NAME?
137 St-City College (1),,M,4260166,3874783,1717439.95,1941779,2533342,#NAME?,#NAME?,#NAME?,#NAME?
"14 St (A,C,E)/8 Av (L)",,M,14324670,14239275,4463226.921,6144808,9193520,#NAME?,#NAME?,#NAME?,#NAME?
"14 St (F,M,1,2,3)/6 Av (L)",,M,15002214,14736035,5057029.071,6306914,8792335,#NAME?,#NAME?,#NAME?,#NAME?
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",,M,33124407,32385260,10830711.997,13165975,17809631,#NAME?,#NAME?,#NAME?,#NAME?
145 St (1),,M,3062446,2936613,1264852.036,1559488,2036875,#NAME?,#NAME?,#NAME?,#NAME?
145 St (3),24,M,635413,954825,438387.931,506217,574054,#NAME?,#NAME?,#NAME?,#NAME?
"145 St (A,B,C,D)",,M,7434662,7464653,3111333.986,3468964,4225726,#NAME?,#NAME?,#NAME?,#NAME?
"155 St (B,D)",,M,1115948,1123868,546624.975,581704,630547,#NAME?,#NAME?,#NAME?,#NAME?
155 St (C),,M,1001262,895036,367255.066,415142,490246,#NAME?,#NAME?,#NAME?,#NAME?
157 St (1),,M,3514522,3739786,1414355.949,1715878,2220795,#NAME?,#NAME?,#NAME?,#NAME?
163 St-Amsterdam Av (C),25,M,548092,1390312,617595.94,679641,783629,#NAME?,#NAME?,#NAME?,#NAME?
"168 St (A,C,1)",26,M,8150537,6156288,3265732.964,4029229,4657808,#NAME?,#NAME?,#NAME?,#NAME?
175 St (A),,M,3879652,4182625,1665945.923,1995451,2135272,#NAME?,#NAME?,#NAME?,#NAME?
18 St (1),,M,2683235,2649616,803923.912,961311,1497039,#NAME?,#NAME?,#NAME?,#NAME?
181 St (1),27,M,3605435,3523536,1682771.989,115142,1952205,#NAME?,#NAME?,#NAME?,#NAME?
181 St (A),,M,3368097,3404841,1364548.03,2009705,1874762,#NAME?,#NAME?,#NAME?,#NAME?
190 St (A),,M,1423142,1535450,562043.017,476475,776585,#NAME?,#NAME?,#NAME?,#NAME?
191 St (1),28,M,2526932,2333160,453577.037,1439161,1534115,#NAME?,#NAME?,#NAME?,#NAME?
2 Av (F),,M,5034358,5583944,1846978.022,2557592,3571480,#NAME?,#NAME?,#NAME?,#NAME?
207 St (1),,M,2020214,1853146,892066.989,998062,1307026,#NAME?,#NAME?,#NAME?,#NAME?
215 St (1),,M,553050,527505,212401.936,274527,403240,#NAME?,#NAME?,#NAME?,#NAME?
23 St (1),,M,4853909,4627755,1566362.965,1843351,2741773,#NAME?,#NAME?,#NAME?,#NAME?
23 St (6),,M,9035498,8659806,2677995.964,2985473,4766220,#NAME?,#NAME?,#NAME?,#NAME?
"23 St (C,E)",,M,7420152,7272610,2341258.97,2932938,3897436,#NAME?,#NAME?,#NAME?,#NAME?
"23 St (F,M)",29,M,5099809,8619473,3100291.002,3240722,4752694,#NAME?,#NAME?,#NAME?,#NAME?
"23 St (R,W)",,M,8155834,7085694,2020697.947,2468679,3645349,#NAME?,#NAME?,#NAME?,#NAME?
28 St (1),,M,4444072,4493352,1367598.112,1582275,2584967,#NAME?,#NAME?,#NAME?,#NAME?
28 St (6),30,M,3525030,5834989,2230478.107,2553865,3626532,#NAME?,#NAME?,#NAME?,#NAME?
"28 St (R,W)",,M,4445982,4018310,1197468.035,1435457,2142492,#NAME?,#NAME?,#NAME?,#NAME?
3 Av (L),,M,2204834,1700456,742240.978,1119803,1448575,#NAME?,#NAME?,#NAME?,#NAME?
33 St (6),,M,9530273,8934900,3078482.092,3655767,4851074,#NAME?,#NAME?,#NAME?,#NAME?
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",,M,39111312,39385436,12826841.121,15037793,20972120,#NAME?,#NAME?,#NAME?,#NAME?
34 St-Hudson Yards (7),,M,3189867,6108384,2092768.967,2811015,4376335,#NAME?,#NAME?,#NAME?,#NAME?
"34 St-Penn Station (1,2,3)",,M,25968950,25967676,8103808.967,8935671,13340397,#NAME?,#NAME?,#NAME?,#NAME?
"34 St-Penn Station (A,C,E)",,M,24857456,25631364,8010472.059,9855288,14328387,#NAME?,#NAME?,#NAME?,#NAME?
"47-50 Sts-Rockefeller Center (B,D,F,M)",,M,17289384,18604810,5826099.987,6110395,9781251,#NAME?,#NAME?,#NAME?,#NAME?
"49 St (N,R,W)",,M,8394862,7410041,1985473.986,2653104,4692505,#NAME?,#NAME?,#NAME?,#NAME?
"5 Av-53 St (E,M)",,M,7748504,7684091,2076870.906,2328956,3716861,#NAME?,#NAME?,#NAME?,#NAME?
"5 Av-59 St (N,R,W)",,M,5136918,4995128,1672584.013,2137582,3026367,#NAME?,#NAME?,#NAME?,#NAME?
50 St (1),,M,8088925,8134360,2213136.88,2481176,4946989,#NAME?,#NAME?,#NAME?,#NAME?
"50 St (C,E)",,M,6441984,6902595,2002812.996,2714329,4126925,#NAME?,#NAME?,#NAME?,#NAME?
57 St (F),31,M,2254820,4550216,1491038.991,1775855,2992231,#NAME?,#NAME?,#NAME?,#NAME?
"57 St-7 Av (N,Q,R,W)",,M,11978164,11012550,3474823.99,4099554,6429389,#NAME?,#NAME?,#NAME?,#NAME?
"59 St-Columbus Circle (A,B,C,D,1)",,M,22991014,23040650,7618925.056,9310678,13777313,#NAME?,#NAME?,#NAME?,#NAME?
66 St-Lincoln Center (1),,M,7196026,7068256,2141714.071,2479656,4015455,#NAME?,#NAME?,#NAME?,#NAME?
68 St-Hunter College (6),,M,6537270,6699711,2511234.978,2987056,4278409,#NAME?,#NAME?,#NAME?,#NAME?
"7 Av (B,D,E)",,M,5299531,5508778,1545233.958,1757665,3100698,#NAME?,#NAME?,#NAME?,#NAME?
"72 St (1,2,3)",,M,12879887,12379560,4498640.969,5718388,7791430,#NAME?,#NAME?,#NAME?,#NAME?
"72 St (B,C)",32,M,1382963,2837041,935069.925,1369718,1904998,#NAME?,#NAME?,#NAME?,#NAME?
72 St (Q),,M,9068131,9528891,3752228,4786684,5884370,#NAME?,#NAME?,#NAME?,#NAME?
77 St (6),,M,7653602,7821286,3190550.101,4117467,5359989,#NAME?,#NAME?,#NAME?,#NAME?
79 St (1),,M,4990840,4745863,1678293.058,2273868,3182626,#NAME?,#NAME?,#NAME?,#NAME?
"8 St-New York University (R,W)",,M,5686332,5434212,1549451.085,2116673,3260289,#NAME?,#NAME?,#NAME?,#NAME?
"81 St-Museum of Natural History (B,C)",,M,4748083,4407607,1275972.915,1888156,2819094,#NAME?,#NAME?,#NAME?,#NAME?
86 St. (1),,M,6139911,5659795,2076861.911,2712070,3672777,#NAME?,#NAME?,#NAME?,#NAME?
"86 St. (4,5,6)",,M,13486510,13537308,5155495.975,6576295,8783809,#NAME?,#NAME?,#NAME?,#NAME?
"86 St. (B,C)",,M,1734366,3232637,1188683.994,1548082,2073430,#NAME?,#NAME?,#NAME?,#NAME?
86 St (Q),,M,8075480,8378778,2913038.01,3589258,4881132,#NAME?,#NAME?,#NAME?,#NAME?
"96 St (1,2,3)",,M,11702401,11628887,4293385.946,5381939,7059602,#NAME?,#NAME?,#NAME?,#NAME?
96 St (6),,M,5151742,5145222,2219217.035,2656566,3392056,#NAME?,#NAME?,#NAME?,#NAME?
"96 St (B,C)",,M,2836643,3038864,1194638.083,1478303,1831940,#NAME?,#NAME?,#NAME?,#NAME?
96 St (Q),,M,6014304,6154837,2353959.06,2771138,3535278,#NAME?,#NAME?,#NAME?,#NAME?
Astor Place (6),,M,5111358,5502925,1684189.054,2127381,3222161,#NAME?,#NAME?,#NAME?,#NAME?
"Bowery (J,Z)",,M,1275541,1325244,454325.999,572281,748064,#NAME?,#NAME?,#NAME?,#NAME?
"Bowling Green (4,5)",,M,8251885,8362034,2503221.961,2632772,4011235,#NAME?,#NAME?,#NAME?,#NAME?
"Broad St (J,Z)",,M,1967616,2172223,698479.972,746314,1032292,#NAME?,#NAME?,#NAME?,#NAME?
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",,M,11414999,12455155,4062644.914,5274947,7806844,#NAME?,#NAME?,#NAME?,#NAME?
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",,M,9060206,9065146,2710022.957,3147136,5050750,#NAME?,#NAME?,#NAME?,#NAME?
Canal St (1),,M,1884371,1984827,560301.956,633250,988102,#NAME?,#NAME?,#NAME?,#NAME?
"Canal St (A,C,E)",,M,6160037,6403172,1965244.986,2243849,3247717,#NAME?,#NAME?,#NAME?,#NAME?
"Canal St (J,N,Q,R,W,Z,6)",,M,15995877,15861864,4881373.031,6297364,8680004,#NAME?,#NAME?,#NAME?,#NAME?
Cathedral Pkwy-110 St (1),,M,4013259,3703893,1433585.933,1917734,2616906,#NAME?,#NAME?,#NAME?,#NAME?
"Cathedral Pkwy-110 St (B,C)",34,M,1168203,2396624,934145.042,1205170,1524260,#NAME?,#NAME?,#NAME?,#NAME?
"Central Park North-110 St (2,3)",,M,2823756,2666985,1060348.026,1222250,1475096,#NAME?,#NAME?,#NAME?,#NAME?
"Chambers St (1,2,3)",,M,6108641,5941546,1781685.047,1957661,3259105,#NAME?,#NAME?,#NAME?,#NAME?
"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt (R,W)",,M,21636146,20820549,5930847.04,6413162,10218699,#NAME?,#NAME?,#NAME?,#NAME?
Christopher St-Sheridan Sq (1),,M,3312074,3412332,1067634.98,1597437,2434305,#NAME?,#NAME?,#NAME?,#NAME?
"City Hall (R,W)",,M,1920070,1710380,536758,616119,944529,#NAME?,#NAME?,#NAME?,#NAME?
"Delancey St (F)/Essex St (J,M,Z)",,M,7922586,8861296,3388713.982,4415980,5961548,#NAME?,#NAME?,#NAME?,#NAME?
Dyckman St (1),,M,2263932,2079656,1055222.031,1154408,1467267,#NAME?,#NAME?,#NAME?,#NAME?
Dyckman St (A),,M,2037425,2238372,953250.024,1095910,1214785,#NAME?,#NAME?,#NAME?,#NAME?
East Broadway (F),,M,4216327,4460330,1622511.975,2013700,2825001,#NAME?,#NAME?,#NAME?,#NAME?
Franklin St (1),,M,1757424,1567005,501135.969,613327,1090840,#NAME?,#NAME?,#NAME?,#NAME?
"Fulton St (A,C,J,Z,2,3,4,5)",,M,27719115,27715365,8855302.069,9728874,14963870,#NAME?,#NAME?,#NAME?,#NAME?
"Grand Central-42 St (S,4,5,6,7)",,M,45207849,45745700,13162825.964,14002142,22937475,#NAME?,#NAME?,#NAME?,#NAME?
"Grand St (B,D)",,M,7187070,8024364,2908016.974,3676433,4922207,#NAME?,#NAME?,#NAME?,#NAME?
Harlem-148 St (3),,M,1232448,1120454,473936.98,532571,610285,#NAME?,#NAME?,#NAME?,#NAME?
Houston St (1),,M,4488886,4496793,1378639.984,1509148,2374723,#NAME?,#NAME?,#NAME?,#NAME?
Inwood-207 St (A),,M,2796626,3150731,1260062.087,1396591,1484846,#NAME?,#NAME?,#NAME?,#NAME?
"Lexington Av (N,Q,R)/59 St (4,5,6)",,M,16955204,16760813,6273480.005,7397107,9894012,#NAME?,#NAME?,#NAME?,#NAME?
"Lexington Av-53 St (E,M)/51 St (6)",,M,18585755,18957465,5718724.978,6226900,9748849,#NAME?,#NAME?,#NAME?,#NAME?
"Lexington Av-63 St (F,Q)",,M,6506078,6567634,2441526.975,3129478,4070117,#NAME?,#NAME?,#NAME?,#NAME?
Marble Hill-225 St (1),,M,1686237,1561844,754010.048,828832,1025805,#NAME?,#NAME?,#NAME?,#NAME?
"Prince St (R,W)",,M,5142727,4342692,1218279.004,1864902,2673575,#NAME?,#NAME?,#NAME?,#NAME?
Rector St (1),,M,2764454,2554523,708205.892,887375,1406133,#NAME?,#NAME?,#NAME?,#NAME?
"Rector St (R,W)",,M,2154295,2014996,594425.972,674273,952233,#NAME?,#NAME?,#NAME?,#NAME?
Roosevelt Island (F),,M,2269432,2380764,893252.993,1230617,1781913,#NAME?,#NAME?,#NAME?,#NAME?
"South Ferry (1)/Whitehall St (R,W)",,M,10275268,10272682,3065053.04,3600135,5151250,#NAME?,#NAME?,#NAME?,#NAME?
Spring St (6),,M,3654673,3754272,1123745.005,1682203,2557718,#NAME?,#NAME?,#NAME?,#NAME?
"Spring St (C,E)",,M,3853792,4423135,1377862.998,1762208,2509293,#NAME?,#NAME?,#NAME?,#NAME?
"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",,M,81116784,82233996,25746633.607,29507558,45023339,#NAME?,#NAME?,#NAME?,#NAME?
"Wall St (2,3)",,M,6452733,6910581,2029160.942,1991358,3065803,#NAME?,#NAME?,#NAME?,#NAME?
"Wall St (4,5)",,M,5646207,5720475,1710382.838,1794655,2729596,#NAME?,#NAME?,#NAME?,#NAME?
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",,M,13446383,14063633,4503428.98,5833859,8145412,#NAME?,#NAME?,#NAME?,#NAME?
WTC Cortlandt (1),35,M,1245455,4232521,1138814.926,1280003,2437993,#NAME?,#NAME?,#NAME?,#NAME?
Queens,,,,,,,,,,,
103 St-Corona Plaza (7),,Q,6319564,6399657,3311294,4069292,4758594,#NAME?,1701865,35.7640302997062%,#NAME?
104 St (A),,Q,548871,536924,243155.951,274883,345525,#NAME?,17911,5.18370595470661%,#NAME?
"104 St (J,Z)",36,Q,456765,774888,365060.081,439642,494615,#NAME?,#NAME?,#NAME?,#NAME?
111 St (7),37,Q,3608389,3836999,2119769.971,2399049,2774756,#NAME?,#NAME?,#NAME?,#NAME?
111 St (A),,Q,762641,760163,339065.953,368997,450084,#NAME?,#NAME?,#NAME?,#NAME?
111 St (J),38,Q,801639,350344,302101.077,378100,414879,#NAME?,#NAME?,#NAME?,#NAME?
"121 St (J,Z)",39,Q,391696,675500,315014.99,384709,446750,#NAME?,#NAME?,#NAME?,#NAME?
169 St (F),,Q,2497336,2465120,1061563.918,1241861,1523722,#NAME?,#NAME?,#NAME?,#NAME?
21 St (G),,Q,550464,535536,228383.02,313868,373697,#NAME?,#NAME?,#NAME?,#NAME?
21 St-Queensbridge (F),40,Q,3340366,3516992,1355845.037,1531006,2230639,#NAME?,#NAME?,#NAME?,#NAME?
"30 Av (N,W)",41,Q,2373721,5230182,1767178.967,2033898,2633548,#NAME?,#NAME?,#NAME?,#NAME?
33 St-Rawson St (7),,Q,3031465,2907388,956399.938,1032172,1581947,#NAME?,#NAME?,#NAME?,#NAME?
"36 Av (N,W)",42,Q,1446827,1933812,845826.972,980573,1288740,#NAME?,#NAME?,#NAME?,#NAME?
"36 St (M,R)",,Q,1513330,1383420,470765.964,519938,728776,#NAME?,#NAME?,#NAME?,#NAME?
"39 Av (N,W)",,Q,665750,761816,382606.96,425965,617339,#NAME?,#NAME?,#NAME?,#NAME?
40 St-Lowery St (7),,Q,3048104,3074342,1236614.004,1539302,2013903,#NAME?,#NAME?,#NAME?,#NAME?
"46 St (M,R)",,Q,2711011,2609445,1052113.983,1250697,1591672,#NAME?,#NAME?,#NAME?,#NAME?
46 St-Bliss St (7),,Q,4058815,4019044,1769577.882,2169169,2687856,#NAME?,#NAME?,#NAME?,#NAME?
52 St (7),,Q,1883246,1907368,847429.979,1061804,1317534,#NAME?,#NAME?,#NAME?,#NAME?
"63 Dr-Rego Park (M,R)",,Q,4769745,4753706,1954646.961,2319942,2798730,#NAME?,#NAME?,#NAME?,#NAME?
"65 St (M,R)",,Q,1129031,1098148,465309.007,567622,678095,#NAME?,#NAME?,#NAME?,#NAME?
"67 Av (M,R)",,Q,2592645,2641450,1021518.02,1161639,1487051,#NAME?,#NAME?,#NAME?,#NAME?
69 St (7),,Q,1510410,1564387,743487.998,993701,1280250,#NAME?,#NAME?,#NAME?,#NAME?
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,Q,16994358,17077862,7523538.001,9437073,11848368,#NAME?,#NAME?,#NAME?,#NAME?
"75 Av (E,F)",,Q,1019978,1059027,395084.11,463228,605747,#NAME?,#NAME?,#NAME?,#NAME?
"75 St-Elderts Ln (J,Z)",44,Q,992267,1029388,516794.968,616695,653029,#NAME?,#NAME?,#NAME?,#NAME?
80 St (A),,Q,1332047,1298825,552807.866,662344,854247,#NAME?,#NAME?,#NAME?,#NAME?
82 St-Jackson Hts (7),45,Q,4741470,4893865,2297895.993,3182336,3751240,#NAME?,#NAME?,#NAME?,#NAME?
85 St-Forest Pkwy (J),,Q,1063133,1061293,546684.991,632887,692867,#NAME?,#NAME?,#NAME?,#NAME?
88 St (A),,Q,855851,853110,384745.033,430498,531202,#NAME?,#NAME?,#NAME?,#NAME?
90 St-Elmhurst Av (7),,Q,5245160,5272683,2661934.002,3299515,3791913,#NAME?,#NAME?,#NAME?,#NAME?
Aqueduct Racetrack (A),,Q,732091,601436,168736.991,234571,200290,#NAME?,#NAME?,#NAME?,#NAME?
Aqueduct-North Conduit Av (A),,Q,276067,263422,107145.982,125407,142044,#NAME?,#NAME?,#NAME?,#NAME?
"Astoria Blvd (N,W)",46,Q,4226298,723354,1053976.035,1582181,2182362,#NAME?,#NAME?,#NAME?,#NAME?
"Astoria-Ditmars Blvd (N,W)",,Q,4543854,5277341,1996235.898,2280654,2999579,#NAME?,#NAME?,#NAME?,#NAME?
"Beach 105 St (A,S)",,Q,92852,88439,37749.953,41437,57637,#NAME?,#NAME?,#NAME?,#NAME?
Beach 25 St (A),,Q,543839,517164,258135.959,267817,314340,#NAME?,#NAME?,#NAME?,#NAME?
Beach 36 St (A),,Q,275165,292305,149257.022,155722,174537,#NAME?,#NAME?,#NAME?,#NAME?
Beach 44 St (A),,Q,216609,215701,109447.964,111217,127686,#NAME?,#NAME?,#NAME?,#NAME?
Beach 60 St (A),,Q,630038,623826,313415.955,312493,349205,#NAME?,#NAME?,#NAME?,#NAME?
Beach 67 St-Arverne By The Sea (A),,Q,669421,718008,366760.035,383966,436104,#NAME?,#NAME?,#NAME?,#NAME?
"Beach 90 St (A,S)",,Q,382766,348771,129188.011,148147,171603,#NAME?,#NAME?,#NAME?,#NAME?
"Beach 98 St (A,S)",,Q,154620,164130,63296.999,71935,93397,#NAME?,#NAME?,#NAME?,#NAME?
"Briarwood-Van Wyck Blvd (E,F)",,Q,1462744,1501152,627402.961,742983,968251,#NAME?,#NAME?,#NAME?,#NAME?
"Broad Channel (A,S)",,Q,82248,90358,35836.96,39981,49631,#NAME?,#NAME?,#NAME?,#NAME?
"Broadway (N,W)",47,Q,2436810,3038655,1463280.016,1809540,2365718,#NAME?,#NAME?,#NAME?,#NAME?
"Court Sq (E,G,M,7)",,Q,7218939,7033377,2368959.032,2830854,4426924,#NAME?,#NAME?,#NAME?,#NAME?
"Elmhurst Av (M,R)",,Q,3898046,3867341,1706574.992,2047952,2446607,#NAME?,#NAME?,#NAME?,#NAME?
Far Rockaway-Mott Av (A),,Q,1376087,1347765,709393.95,715676,775401,#NAME?,#NAME?,#NAME?,#NAME?
Flushing-Main St (7),,Q,17799862,17568837,6944922.941,9206396,11722581,#NAME?,#NAME?,#NAME?,#NAME?
Forest Av (M),,Q,927801,1310163,609686.934,689509,861278,#NAME?,#NAME?,#NAME?,#NAME?
"Forest Hills-71 Av (E,F,M,R)",,Q,8115385,8027234,3100666.98,3659612,4794614,#NAME?,#NAME?,#NAME?,#NAME?
Fresh Pond Rd (M),,Q,1400512,1776084,841585.002,937847,1132629,#NAME?,#NAME?,#NAME?,#NAME?
"Grand Av-Newtown (M,R)",,Q,5713827,5730846,2394478.984,2932966,3588300,#NAME?,#NAME?,#NAME?,#NAME?
Howard Beach-JFK Airport (A),,Q,1154695,1171303,325749.963,457932,766744,#NAME?,#NAME?,#NAME?,#NAME?
Hunters Point Av (7),,Q,1932478,1885928,705574.063,703246,1038309,#NAME?,#NAME?,#NAME?,#NAME?
"Jamaica Center-Parsons-Archer (E,J,Z)",,Q,10681269,10010419,4284645.949,4766773,5240027,#NAME?,#NAME?,#NAME?,#NAME?
Jamaica-179 St (F),,Q,6270766,6262449,2741359.049,3023613,3723038,#NAME?,#NAME?,#NAME?,#NAME?
Jamaica-Van Wyck (E),,Q,1502672,1412179,807092.969,777620,907248,#NAME?,#NAME?,#NAME?,#NAME?
Junction Blvd (7),,Q,6896657,6883317,3622647.048,4656086,5520086,#NAME?,#NAME?,#NAME?,#NAME?
"Kew Gardens-Union Turnpike (E,F)",,Q,7680149,7625674,3054242.01,3508016,4448452,#NAME?,#NAME?,#NAME?,#NAME?
Mets-Willets Point (7),,Q,1756825,2025162,311887.96,1034620,1430664,#NAME?,#NAME?,#NAME?,#NAME?
Middle Village-Metropolitan Av (M),,Q,954875,1090449,514007.016,612324,749356,#NAME?,#NAME?,#NAME?,#NAME?
"Northern Blvd (M,R)",,Q,2097374,2008091,902164.799,1067116,1268933,#NAME?,#NAME?,#NAME?,#NAME?
Ozone Park-Lefferts Blvd (A),,Q,2296755,2216647,1019114.994,1076417,1263152,#NAME?,#NAME?,#NAME?,#NAME?
Parsons Blvd (F),,Q,2003517,2086114,1089861.004,1133530,1377535,#NAME?,#NAME?,#NAME?,#NAME?
"Queens Plaza (E,M,R)",,Q,3886574,4334290,1422188.035,1691730,2662316,#NAME?,#NAME?,#NAME?,#NAME?
"Queensboro Plaza (N,W,7)",,Q,5079051,5018211,1790223.056,2225527,3116629,#NAME?,#NAME?,#NAME?,#NAME?
Rockaway Blvd (A),,Q,2336304,2299903,1040868.953,1196776,1459323,#NAME?,#NAME?,#NAME?,#NAME?
"Rockaway Park-Beach 116 St (A,S)",,Q,240483,228144,110132.99,109098,131421,#NAME?,#NAME?,#NAME?,#NAME?
Seneca Av (M),,Q,565714,1080829,474805.94,466641,531319,#NAME?,#NAME?,#NAME?,#NAME?
"Steinway St. (M,R)",,Q,5075623,4715335,1768131.003,2110765,2629433,#NAME?,#NAME?,#NAME?,#NAME?
Sutphin Blvd (F),,Q,1303795,1345420,702013.013,707596,836028,#NAME?,#NAME?,#NAME?,#NAME?
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,Q,7282128,7354064,2951061.063,3799692,4770175,#NAME?,#NAME?,#NAME?,#NAME?
Vernon Blvd-Jackson Av (7),,Q,4493326,4623070,1768317.017,2189038,3113214,#NAME?,#NAME?,#NAME?,#NAME?
"Woodhaven Blvd (J,Z)",48,Q,1370889,1337787,681796.028,753419,838374,#NAME?,#NAME?,#NAME?,#NAME?
"Woodhaven Blvd (M,R)",,Q,6509386,6381132,2634482.911,3302348,3905277,#NAME?,#NAME?,8.49883375750299%,#NAME?
Woodside-61 St (7),,Q,5282486,5345369,2391082.993,3037602,3872081,#NAME?,350080,9.04113317877389%,#NAME?
,,,,,,,,,,,
Brooklyn,,,370231302,370545959,153292737.772,183587543,232489655,260211533,27721878,11.9239189373824%,
Bronx,,,139238932,138381037,65662310.981,72920734,81067948,82306692,1238744,1.52803176910312%,
Manhattan,,,936516980,952710327,319882175.578,381549651,546640695,#NAME?,#NAME?,16.7953494571055%,
Queens,,,234085767,236149679,100703800.979,121918793,153227167,#NAME?,#NAME?,11.6179502294133%,
Systemwide Adjustment,,,-12579,,,,,,0,,
System Total,,,1680060402,1697787002,639541025.31,759976721,1013425465,1151998158,138572693,13.6736936050842%,
,,,,,,,,,,,
"* MTA New York City Transit Temporary Station Closings, 2018-2023",,,,,,,,,,,
